MEDIA_ID,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,CX,CY,CS,
0,0.64298,1,1,0.43811,0.16742,0.37760,0.09259,0,
0,0.77489,2,1,0.52874,0.18655,0.97292,0.05185,0,
0,0.21410,3,1,0.82300,0.12464,0.97031,0.05185,0,
0,0.62699,4,1,0.59128,0.15601,0.93958,0.01296,0,
0,0.28062,5,1,0.52699,0.19554,0.93958,0.01296,0,
0,0.24727,6,1,0.30137,0.24257,0.93958,0.01296,0,
0,0.23087,7,1,0.16331,0.21005,0.91823,0.01759,0,
0,0.24753,8,1,0.05657,0.12689,0.20208,0.09444,0,
0,1.30274,9,1,0.01332,0.17362,0.00000,0.07593,0,
0,0.32959,10,1,0.01619,0.09804,0.00156,0.07685,0,
0,0.89029,11,1,0.01511,0.12826,0.00000,0.07315,0,
0,2.55508,12,1,0.00921,0.18192,0.00000,0.11667,0,
0,0.80784,13,1,0.02345,0.23272,0.00000,0.19352,0,
0,0.26399,14,1,-0.02692,0.33090,0.00000,0.22778,0,
0,0.29703,15,1,-0.03472,0.41220,0.00000,0.29537,0,
0,0.29637,16,1,-0.02868,0.52969,0.00000,0.39722,0,
0,0.37952,17,1,-0.05280,0.69194,0.00000,0.52500,0,
0,0.13161,18,1,-0.05261,0.75500,0.00000,0.61481,0,
0,0.64310,19,1,-0.04002,0.63266,0.00000,0.46019,0,
0,0.28037,20,1,-0.02539,0.57475,0.00000,0.40741,0,
0,0.36287,21,1,-0.00798,0.47126,0.00000,0.34444,0,
0,0.13189,22,1,-0.07054,0.54483,0.00000,0.34259,0,
0,0.59352,23,1,-0.04828,0.61749,0.00000,0.35370,0,
0,0.31379,24,1,-0.08245,0.51863,0.00000,0.32315,0,
0,0.31338,25,1,-0.04230,0.32887,0.00000,0.19352,0,
0,1.12085,26,1,-0.04488,0.19533,0.00000,0.07593,0,
0,0.31338,27,1,0.02469,0.11001,0.00000,0.07407,0,
0,0.31326,28,1,-0.13393,0.67553,0.00000,0.26574,0,
0,0.26387,29,1,0.58210,0.17969,0.02396,0.07222,0,
0,0.14835,30,1,0.54244,0.12897,0.04167,0.07130,0,
0,0.28076,31,1,-0.49410,0.75575,0.05781,0.07130,0,
0,0.34636,32,1,-0.50637,0.93770,0.06823,0.07222,0,
0,0.24712,33,1,-0.50145,0.82750,0.07604,0.07222,0,
0,0.23077,34,1,-0.46233,0.70596,0.08333,0.07222,0,
0,0.23076,35,1,-0.70755,1.18962,0.09063,0.07315,0,
0,0.21437,36,1,-0.23912,0.22843,0.09740,0.07222,0,
0,8.47466,37,1,0.39020,0.15576,0.37969,0.07222,0,
0,7.07285,38,1,0.67822,0.12016,0.68802,0.07222,0,
0,0.90688,39,1,0.73190,0.12941,0.73490,0.07130,0,
0,0.75848,40,1,0.76614,0.12248,0.76250,0.06944,0,
0,2.60522,41,1,0.83565,0.12850,0.83021,0.07037,0,
0,0.67623,42,1,0.89751,0.11499,0.86042,0.07037,0,
0,1.36835,43,1,0.96254,0.11316,0.91510,0.07315,0,
0,0.47812,44,1,0.99473,0.10578,0.93698,0.07407,0,
0,1.13761,45,1,0.99729,0.10532,0.97552,0.07037,0,
0,2.45660,46,1,1.00708,0.10549,0.99844,0.06944,0,
0,5.60625,47,1,0.86028,0.14443,0.88281,0.07222,0,
0,1.50090,48,1,0.84498,0.14614,0.82292,0.07037,0,
0,1.84633,49,1,0.74395,0.14137,0.75208,0.07315,0,
0,1.00562,50,1,0.68123,0.15221,0.71146,0.07315,0,
0,4.50108,51,1,0.47411,0.14910,0.51510,0.07037,0,
0,1.54987,52,1,0.41123,0.17008,0.42760,0.07130,0,
0,0.75840,53,1,0.35863,0.17396,0.37187,0.07037,0,
0,1.03847,54,1,0.26695,0.18436,0.30104,0.07130,0,
0,0.49474,55,1,0.25216,0.17606,0.27031,0.07037,0,
0,0.74200,56,1,0.20663,0.20426,0.22813,0.07130,0,
0,0.67599,57,1,0.15012,0.22701,0.18177,0.07130,0,
0,0.89052,58,1,0.09660,0.23478,0.12656,0.07222,0,
0,0.70898,59,1,0.07375,0.19264,0.07865,0.06944,0,
0,1.30312,60,1,0.00113,0.26535,0.00000,0.07130,0,
0,1.15411,61,1,-0.04238,0.21283,0.00000,0.07130,0,
0,0.37914,62,1,0.09861,0.18413,0.06771,0.07222,0,
0,0.49486,63,1,0.13455,0.15602,0.10052,0.07222,0,
0,1.78076,64,1,0.23933,0.15713,0.22917,0.06944,0,
0,0.79134,65,1,0.28127,0.14046,0.28073,0.06944,0,
0,0.70901,66,1,0.37126,0.16053,0.32969,0.06944,0,
0,0.80788,67,1,0.41128,0.13245,0.39740,0.07130,0,
0,1.35199,68,1,0.48767,0.13532,0.48854,0.07130,0,
0,0.87428,69,1,0.55251,0.12668,0.55833,0.07130,0,
0,0.77501,70,1,0.61285,0.12776,0.61563,0.07130,0,
0,1.13785,71,1,0.74526,0.13230,0.69427,0.06944,0,
0,0.49464,72,1,0.79436,0.13874,0.73073,0.06759,0,
0,0.49460,73,1,0.80557,0.13886,0.76302,0.06759,1,
0,0.97278,74,1,0.68143,0.15983,0.78281,0.07037,0,
0,0.41226,75,1,0.78043,0.13165,0.75990,0.07130,0,
0,4.07207,76,1,0.88391,0.11422,0.93333,0.07037,0,
0,7.05681,77,1,1.01983,0.10748,0.99635,0.20833,0,
0,1.03850,78,1,0.99796,0.12283,0.99635,0.29074,0,
0,0.97301,79,1,0.97023,0.15132,0.99792,0.39259,0,
0,0.47797,80,1,1.03775,0.11548,0.99635,0.43704,0,
0,0.36301,81,1,0.96521,0.15939,0.99583,0.46944,0,
0,0.28026,82,1,0.93726,0.17612,0.99583,0.49907,0,
0,0.57727,83,1,0.72719,0.23616,0.80000,0.44815,0,
0,0.46161,84,1,0.76993,0.23628,0.80000,0.40833,0,
0,1.41783,85,1,0.85993,0.17457,0.80052,0.30648,0,
0,1.86314,86,1,0.74243,0.12273,0.80104,0.16852,0,
0,3.62762,87,1,0.78583,0.16947,0.80052,0.12593,0,
0,2.75333,88,1,0.81577,0.20575,0.79948,0.36944,0,
0,1.02209,89,1,0.79555,0.25359,0.79948,0.47963,0,
0,0.36275,90,1,0.76223,0.26950,0.79896,0.51852,0,
0,0.42874,91,1,0.45505,0.37617,0.39740,0.37963,0,
0,0.14825,92,1,0.46048,0.34911,0.39740,0.36111,0,
0,0.26361,93,1,0.44024,0.32185,0.39792,0.31759,0,
0,0.18161,94,1,0.42766,0.27118,0.39792,0.29815,0,
0,0.56073,95,1,0.40720,0.24353,0.39635,0.21759,0,
0,0.95665,96,1,0.36679,0.16346,0.39635,0.12500,0,
0,3.29759,97,1,0.38424,0.24621,0.39635,0.21111,0,
0,0.57709,98,1,0.35952,0.30065,0.39583,0.27315,0,
0,0.69249,99,1,0.37862,0.35352,0.39427,0.35648,0,
0,0.41240,100,1,0.41886,0.37346,0.39531,0.40000,0,
0,0.31323,101,1,0.42980,0.37737,0.39531,0.45185,0,
0,0.19766,102,1,0.43458,0.11720,0.39948,0.07222,0,
0,0.42877,103,1,0.51751,0.14869,0.41042,0.07500,0,
0,0.29694,104,1,0.43486,0.17769,0.43542,0.07500,0,
0,0.79141,105,1,0.48509,0.16827,0.49323,0.07593,0,
0,0.56079,106,1,0.59029,0.16038,0.53125,0.07407,0,
0,1.07138,107,1,0.63925,0.14261,0.62083,0.07500,0,
0,0.93991,108,1,0.67733,0.13642,0.69323,0.07315,0,
0,0.69260,109,1,0.77293,0.13268,0.74063,0.07407,0,
0,2.09399,110,1,0.72483,0.14849,0.76875,0.08611,0,
0,0.29691,111,1,0.76776,0.17286,0.76927,0.09815,0,
0,2.34122,112,1,0.78531,0.16011,0.76771,0.10000,0,
0,5.42404,113,1,0.69143,0.13718,0.78021,0.10463,0,
0,0.77496,114,1,0.68072,0.15916,0.78229,0.10278,0,
0,0.28024,115,1,0.65076,0.15425,0.78229,0.09815,0,
0,0.28049,116,1,0.86539,0.15682,0.78229,0.09167,0,
0,0.18149,117,1,1.02551,0.10853,0.76875,0.08333,0,
0,0.28064,118,1,1.05633,0.09712,0.77604,0.10278,0,
0,0.19803,119,1,0.77941,0.15031,0.76979,0.09815,0,
0,1.82968,120,1,0.66568,0.15186,0.78177,0.09444,0,
0,0.31335,121,1,0.77707,0.16410,0.78177,0.08426,0,
0,0.32986,122,1,0.70164,0.13470,0.77552,0.08241,0,
0,0.34622,123,1,0.68142,0.13220,0.77031,0.08426,0,
0,0.49435,124,1,0.99125,0.12780,0.76927,0.09722,0,
0,1.28625,125,1,0.84497,0.14861,0.78073,0.10185,0,
0,0.28021,126,1,0.67372,0.13499,0.78125,0.10185,0,
0,0.24725,127,1,0.82445,0.14975,0.78125,0.09259,0,
0,1.10446,128,1,0.76790,0.18254,0.77240,0.08333,0,
0,0.28052,129,1,1.09600,0.07821,0.76927,0.08333,0,
0,0.34610,130,1,0.93685,0.12847,0.76927,0.09722,0,
0,1.12100,131,1,0.69512,0.13696,0.78177,0.10370,0,
0,0.29663,132,1,0.82284,0.15038,0.78229,0.09815,0,
0,0.23087,133,1,0.79182,0.13656,0.76875,0.08704,0,